Interviewee ID,Normalized Superlative Score
159,0.4939854
160,0.49231902
161,0.4312543
162,0.5522455
163,0.6496803
164,0.5623595
165,0.36347598
166,0.37001443
167,0.3822039
168,0.41426572
169,0.39636922
170,0.5734232
171,0.57636213
172,0.45077807
173,0.20273565
174,0.51202595
175,0.3521624
176,0.5058156
177,0.40863428
178,0.637899
179,0.3640842
180,0.58984625
181,0.40956527
182,0.55064225
183,0.49011818
184,0.5970481
185,0.53420675
186,0.5053986
187,0.46816504
189,0.48374513
190,0.54021966
191,0.6250088
192,0.48773327
193,0.6198193
194,0.55014694
195,0.49957684
197,0.29943684
198,0.68174475
199,0.49653748
200,0.2939548
201,0.6023683
202,0.2950912
203,0.34040153
204,0.5438761
205,0.31520098
206,0.63619167
207,0.57250553
208,0.5571789
209,0.623458
210,0.70094573
212,0.4836642
213,0.60177875
214,0.5715185
215,0.47389254
216,0.7781249
217,0.48242018
218,0.27204877
219,0.53046846
220,0.51824874
221,0.35650358
222,0.41452536
223,0.29168192
224,0.5568232
225,0.41184703
226,0.56418777
227,0.5190437
228,0.3294632
229,0.5680488
230,0.4521875
232,0.4181267
233,0.4547778
234,0.46581307
235,0.52018636
236,0.43891585
237,0.2479873
238,0.51974887
239,0.3882088
240,0.46441963
241,0.36897582
242,0.51319087
243,0.41922936
244,0.5834501
245,0.5999052
246,0.61774564
247,0.4691663
248,0.6486799
249,0.39960065
250,0.7703656
251,0.5525265
252,0.66957307
253,0.46427202
254,0.3146381
255,0.51804954
256,0.60987693
257,0.46036658
258,0.6513298
259,0.427741
260,0.576684
261,0.43381616
262,0.37239844
263,0.67713237
264,0.63384414
265,0.58776814
266,0.38722712
267,0.4927645
268,0.3375916
269,0.4868485
270,0.5047085
271,0.502265
272,0.4848033
273,0.53015184
274,0.58210295
275,0.46008024
276,0.69146574
277,0.35664853
279,0.6738849
280,0.4722759
281,0.6028974
282,0.55108863
283,0.48932323
284,0.61908835
285,0.45811772
286,0.5723499
287,0.27650288
288,0.1312626
289,0.40282053
290,0.4167244
291,0.39149716
292,0.54993796
293,0.29844713
294,0.57905203
295,0.5958103
296,0.6595827
297,0.54049885
298,0.4672349
299,0.23614196
300,0.64096236
301,0.4156938
302,0.51508576
303,0.45295668
304,0.5251402
305,0.25984332
306,0.5782606
307,0.44833627
308,0.7519854
